block_number,from,token,amount,to_chain,timestamp,amount_usd,symbol,date
15092132,0xe59574ff399646a443d04Ed8F068ED6540004b5b,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3874629301,bsc,1657152497,3874.629301,USDC,2022-07-07 00:08:17
15092565,0xFb16D59dEaAA209e59D2dcc43424C2fa5bFBc9a8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,17037960000,bsc,1657158430,17037.96,USDC,2022-07-07 01:47:10
15092607,0xc1C1934BBAE9aafb850e443eC789A544f3d22314,0xdAC17F958D2ee523a2206206994597C13D831ec7,8655455913,bsc,1657159191,8655.455913,USDT,2022-07-07 01:59:51
15092690,0xBF774Ca783f3a16cDBeE2177E7CFa0765Dc69d0f,0xdAC17F958D2ee523a2206206994597C13D831ec7,100000000,bsc,1657160006,100.0,USDT,2022-07-07 02:13:26
15092703,0x61ec00D287a9d9b9D9511Ca93Aea15dA13a21BDE,0x6B175474E89094C44Da98b954EedeAC495271d0F,1000000000000000000000,matic,1657160264,1000.0,DAI,2022-07-07 02:17:44
15092719,0x78792c1104E7f8D3FfC31E8eADB616cde29a16F8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4065153569,bsc,1657160521,4065.153569,USDC,2022-07-07 02:22:01
15092724,0x69b5C77F329D82a245Ae029f1689c14fB089719a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,83298500,moonbeam,1657160545,83.2985,USDC,2022-07-07 02:22:25
15092759,0x8D4F3956f3216229B8c1c8f8AFc4aA7130aB3114,0xdAC17F958D2ee523a2206206994597C13D831ec7,40294990,okex,1657161171,40.29499,USDT,2022-07-07 02:32:51
15092761,0x3eDDa4d2854F9EDa438c168c24A096DE529dBF70,0x6B175474E89094C44Da98b954EedeAC495271d0F,600000000000000000000,matic,1657161188,600.0,DAI,2022-07-07 02:33:08
15092841,0x8D4F3956f3216229B8c1c8f8AFc4aA7130aB3114,0xdAC17F958D2ee523a2206206994597C13D831ec7,17565391,bsc,1657162288,17.565391,USDT,2022-07-07 02:51:28
15092889,0xd9e08Df759c1563D33b2d49Ae21A00284321aF8C,0xdAC17F958D2ee523a2206206994597C13D831ec7,15000000,bsc,1657162933,15.0,USDT,2022-07-07 03:02:13
15092959,0xe2fAcBebbE29A94a17590f9a56E721fb7d610795,0xdAC17F958D2ee523a2206206994597C13D831ec7,50285122,bsc,1657164133,50.285122,USDT,2022-07-07 03:22:13
